time,V_ai0,V_ai1
0 sec,3.47052739464069,8.45860990268203
0.00025 sec,3.46798188232579,8.45606433401782
0.0005 sec,3.45525432075133,8.45351876535362
0.00075 sec,3.4654363700109,8.45860990268203
0.001 sec,3.47307290695558,8.46624660867465
0.00125 sec,3.47052739464069,8.46115547134624
0.0015 sec,3.46289085769601,8.45606433401782
0.00175 sec,3.47307290695558,8.45860990268203
0.002 sec,3.46289085769601,8.45606433401782
0.00225 sec,3.4654363700109,8.45351876535362
0.0025 sec,3.47816393158536,8.45860990268203
0.00275 sec,3.46798188232579,8.46115547134624
0.003 sec,3.45525432075133,8.45606433401782
0.00325 sec,3.46289085769601,8.46115547134624
0.0035 sec,3.47307290695558,8.46115547134624
0.00375 sec,3.46289085769601,8.45860990268203
0.004 sec,3.46034534538112,8.45097319668942
0.00425 sec,3.47307290695558,8.46370104001045
0.0045 sec,3.4654363700109,8.46879217733886
0.00475 sec,3.46798188232579,8.46115547134624
0.005 sec,3.47052739464069,8.46879217733886
0.00525 sec,3.46289085769601,8.46879217733886
0.0055 sec,3.45779983306623,8.46879217733886
0.00575 sec,3.46289085769601,8.45860990268203
0.006 sec,3.47816393158536,8.47897445199568
0.00625 sec,3.47307290695558,8.46879217733886
0.0065 sec,3.45525432075133,8.45606433401782
0.00675 sec,3.47307290695558,8.47388331466727
0.007 sec,3.47307290695558,8.47642888333148
0.00725 sec,3.46289085769601,8.46370104001045
0.0075 sec,3.4654363700109,8.46115547134624
0.00775 sec,3.4654363700109,8.47642888333148
0.008 sec,3.46289085769601,8.46624660867465
0.00825 sec,3.47052739464069,8.46370104001045
0.0085 sec,3.47561841927046,8.48152002065989
0.00875 sec,3.46289085769601,8.47388331466727
0.009 sec,3.45779983306623,8.46624660867465
0.00925 sec,3.47307290695558,8.47133774600307
0.0095 sec,3.47561841927046,8.48152002065989
0.00975 sec,3.46289085769601,8.47133774600307
0.01 sec,3.46289085769601,8.46370104001045
0.01025 sec,3.47307290695558,8.48152002065989
