time,V_ai0,V_ai1,V_ai2
0,3.50361905473427,0.175329469354651,1.44325832140541
0.03,3.50107354241938,0.182966175347268,1.45089561836729
0.06,3.50361905473427,0.177875038018854,1.405071836596
0.09,3.50361905473427,0.170238332026237,1.45344138402125
0.12,3.4959825177896,0.241514254624015,1.39743453963412
0.15,3.49852803010449,0.16769276336203,1.44325832140541
0.18,3.4959825177896,0.162601626033616,1.41525489921185
0.21,3.50361905473427,0.162601626033616,1.38470571136432
0.24,3.50361905473427,0.172783900690444,1.38215994571036
0.27,3.4959825177896,0.157510488705206,1.39743453963412
0.3,3.50616456704917,0.16005605736941,1.38725147701828
0.33,3.50107354241938,0.142237076719969,1.43307525878957
0.36,3.4959825177896,0.170238332026237,1.41780066486581
0.39,3.50107354241938,0.182966175347268,1.39488877398016
0.42,3.50361905473427,0.16769276336203,1.37706841440244
0.45,3.50871007936405,0.165147194697823,1.42543796182769
0.48,3.51125559167894,0.157510488705206,1.36688535178659
0.51,3.50361905473427,0.16005605736941,1.35161075786283
0.54,3.4959825177896,0.16005605736941,1.35161075786283
0.57,3.50361905473427,0.16005605736941,1.36433958613264
0.6,3.50361905473427,0.154964920040999,1.40252607094205
0.63,3.50107354241938,0.154964920040999,1.37197688309452
0.66,3.50871007936405,0.149873782712586,1.38215994571036
0.69,3.50361905473427,0.157510488705206,1.33633616393907
0.72,3.50361905473427,0.147328214048379,1.37197688309452
0.75,3.50107354241938,0.152419351376793,1.30069544478362
0.78,3.4959825177896,0.152419351376793,1.32615310132323
0.81,3.49343700547471,0.154964920040999,1.31597003870738
0.84,3.50361905473427,0.142237076719969,1.35415652351679
0.87,3.50107354241938,0.134600370727348,1.37197688309452
0.9,3.50107354241938,0.134600370727348,1.34142769524699
0.93,3.50361905473427,0.152419351376793,1.33379039828511
0.96,3.4959825177896,0.139691508055762,1.31851580436135
0.99,3.50107354241938,0.142237076719969,1.32615310132323
1.02,3.49852803010449,0.142237076719969,1.30069544478362
1.05,3.49852803010449,0.172783900690444,1.28542085085986
1.08,3.49852803010449,0.175329469354651,1.31342427305342
1.11,3.50871007936405,0.16005605736941,1.34397346090095
1.14,3.49852803010449,0.162601626033616,1.35415652351679
1.17,3.49343700547471,0.16005605736941,1.2956039134757
1.2,3.50107354241938,0.154964920040999,1.3210615700153
1.23,3.50616456704917,0.162601626033616,1.33633616393907
1.26,3.50361905473427,0.162601626033616,1.34397346090095
1.29,3.50107354241938,0.154964920040999,1.27014625693609
1.32,3.50616456704917,0.149873782712586,1.24723436605045
1.35,3.4959825177896,0.149873782712586,1.27523778824401
1.38,3.50107354241938,0.147328214048379,1.32869886697718
1.41,3.4959825177896,0.147328214048379,1.24723436605045
1.44,3.49852803010449,0.142237076719969,1.24468860039649
1.47,3.49343700547471,0.144782645384172,1.27269202259006
