time,V_ai0,V_ai1
0,6.95024272909708,6.58507136582618
0.03,6.95278824141197,6.5519789731915
0.06,6.94260619215241,6.53415999254205
0.09,6.95787926604175,6.61307262113245
0.12,6.97060682761621,6.61561818979666
0.15,6.93496965520773,6.595253640483
0.18,6.9451517044673,6.5927080718188
0.21,6.95533375372687,6.67925740640181
0.24,6.95533375372687,6.74544219167117
0.27,6.94260619215241,6.61307262113245
0.3,6.88405940890991,6.66907513174499
0.33,6.89678697048437,6.57488909116935
0.36,6.90696901974393,6.67671183773761
0.39,6.90442350742904,6.56725238517674
0.42,6.89933248279926,6.6359827391103
0.45,6.87387735965034,6.57488909116935
0.48,6.89169594585458,6.52397771788522
0.51,6.88915043353969,6.60289034647563
0.54,6.87387735965034,6.60543591513983
0.57,6.88405940890991,6.50361316857158
0.6,6.89933248279926,6.62325489578927
0.63,6.9146055566886,6.57234352250514
0.66,6.88405940890991,6.49852203124316
0.69,6.89424145816947,6.61561818979666
0.72,6.88151389659501,6.68180297506602
0.75,6.89933248279926,6.79126242762689
0.78,6.94769721678219,6.59779920914721
0.81,6.89678697048437,6.61052705246824
0.84,6.91715106900349,6.65125615109555
0.87,6.89678697048437,6.58761693449038
0.9,6.88405940890991,6.5545245418557
0.93,6.88151389659501,6.58761693449038
0.96,6.87387735965034,6.69198524972284
0.99,6.89678697048437,6.62834603311769
1.02,6.92224209363328,6.62580046445348
1.05,6.87896838428012,6.69962195571546
1.08,6.91206004437371,6.70725866170808
1.11,6.95024272909708,6.67162070040919
1.14,6.90951453205882,6.56979795384094
1.17,6.88915043353969,6.61561818979666
1.2,6.9146055566886,6.57488909116935
1.23,6.89933248279926,6.5519789731915
1.26,6.89678697048437,6.58507136582618
1.29,6.8866049212248,6.67671183773761
1.32,6.88915043353969,6.67162070040919
1.35,6.95533375372687,6.67162070040919
1.38,6.9146055566886,6.62070932712507
1.41,6.88405940890991,6.5927080718188
1.44,6.87896838428012,6.69707638705125
1.47,6.9146055566886,6.51124987456419
1.5,6.88915043353969,6.57998022849777
1.53,6.87642287196524,6.63089160178189
1.56,6.91969658131839,6.5519789731915
1.59,6.88405940890991,6.62325489578927
1.62,6.90951453205882,6.595253640483
1.65,6.88915043353969,6.52652328654943
1.68,6.87387735965034,6.60289034647563
1.71,6.91715106900349,6.6359827391103
1.74,6.89424145816947,6.57743465983356
1.77,6.94769721678219,6.62325489578927
1.8,6.86878633502056,6.68689411239443
1.83,6.90187799511414,6.7123497990365
1.86,6.87133184733545,6.68180297506602
1.89,6.90696901974393,6.52143214922102
1.92,6.92987863057795,6.60543591513983
1.95,6.89424145816947,6.60034477781142
1.98,6.95533375372687,6.74035105434277
2.01,6.91715106900349,6.69707638705125
2.04,6.95787926604175,6.53925112987046
2.07,6.9451517044673,6.58507136582618
2.1,6.91715106900349,6.66652956308078
2.13,6.93496965520773,6.57743465983356
2.16,6.93751516752262,6.57234352250514
2.19,6.96297029067154,6.68180297506602
2.22,6.9146055566886,6.68943968105864
2.25,6.92478760594817,6.51124987456419
2.28,6.95533375372687,6.60289034647563
2.31,6.95533375372687,6.58252579716197
2.34,6.94769721678219,6.62580046445348
2.37,6.9146055566886,6.6741662690734
2.4,6.95278824141197,6.62070932712507
2.43,6.92224209363328,6.5545245418557
2.46,6.95533375372687,6.79889913361951
2.49,6.99860746308002,6.68943968105864
2.52,6.93751516752262,6.52652328654943
2.55,6.94006067983752,6.60289034647563
2.58,6.97060682761621,6.57743465983356
2.61,6.9731523399311,6.53670556120626
2.64,6.96806131530132,6.78617129029848
2.67,6.94260619215241,6.5927080718188
2.7,6.9731523399311,6.69453081838705
2.73,6.91969658131839,6.67162070040919
2.76,6.9451517044673,6.51124987456419
2.79,6.95024272909708,6.65380171975975
2.82,6.96042477835665,6.60034477781142
2.85,6.95533375372687,6.62325489578927
2.88,6.91969658131839,6.68434854373022
2.91,6.96806131530132,6.60034477781142
2.94,6.94006067983752,6.5137954432284
2.97,6.95787926604175,6.76835230964903
3,6.94260619215241,6.58252579716197
3.03,6.94769721678219,6.60034477781142
3.06,6.9451517044673,6.67162070040919
3.09,6.92224209363328,6.62070932712507
3.12,6.95787926604175,6.68434854373022
3.15,6.94260619215241,6.68943968105864
3.18,6.95533375372687,6.62580046445348
3.21,6.975697852246,6.55707011051991
3.24,6.9731523399311,6.53415999254205
3.27,6.9451517044673,6.50361316857158
3.3,6.93751516752262,6.55961567918411
3.33,6.93242414289285,6.5137954432284
3.36,6.94260619215241,6.57743465983356
3.39,6.96042477835665,6.50615873723578
